system:index,B2,B3,B4,B8,B11,ndvi,ndwi,classification,landcover
1_2_40_704_0,0.0177,0.0334,0.0203,0.2072,0.0869,0.82153845,-0.7223608,2,2
1_2_40_711_0,0.0204,0.0344,0.0236,0.196,0.0996,0.78506374,-0.7013889,2,2
1_2_40_712_0,0.0204,0.0344,0.0236,0.196,0.0996,0.78506374,-0.7013889,2,2
1_2_40_713_0,0.0201,0.0381,0.0235,0.2255,0.1053,0.81124496,-0.71092564,2,2
1_2_40_714_0,0.0212,0.04,0.0227,0.2504,0.1145,0.8337605,-0.7245179,2,2
1_2_40_715_0,0.0227,0.0431,0.0223,0.2766,0.1212,0.8507862,-0.73037225,2,2
1_2_40_716_0,0.0227,0.0431,0.0223,0.2766,0.1212,0.8507862,-0.73037225,2,2
1_2_40_717_0,0.022,0.0448,0.023,0.2831,0.1234,0.8497223,-0.72674596,2,2
1_2_40_721_0,0.0182,0.0383,0.0189,0.282,0.1145,0.8743769,-0.7608492,2,2
1_2_40_725_0,0.0192,0.0349,0.0193,0.2559,0.1053,0.85973835,-0.7599725,2,2
1_2_40_729_0,0.0236,0.0407,0.0297,0.1968,0.1188,0.7377483,-0.65726316,2,2
1_2_40_730_0,0.0245,0.0392,0.0295,0.1972,0.1132,0.7397441,-0.66835874,2,2
1_2_40_731_0,0.0221,0.0396,0.0267,0.2174,0.117,0.7812372,-0.6918288,2,2
1_2_40_735_0,0.02,0.038,0.0202,0.3151,0.1013,0.8795109,-0.7847635,2,2
1_2_40_736_0,0.0182,0.0335,0.0203,0.2267,0.0939,0.83562756,-0.7425058,2,2
1_2_40_738_0,0.0167,0.0291,0.0179,0.1988,0.0862,0.83479464,-0.74462485,2,2
1_2_40_740_0,0.0174,0.0321,0.0206,0.2035,0.0931,0.8161535,-0.72750425,2,2
1_2_40_741_0,0.0215,0.0399,0.0204,0.254,0.1118,0.851312,-0.7284791,2,2
1_2_40_747_0,0.0196,0.0391,0.0212,0.2538,0.1081,0.84581816,-0.7330147,2,2
1_2_40_750_0,0.0211,0.0347,0.028,0.1748,0.1106,0.72386587,-0.6687351,2,2
1_2_40_755_0,0.0186,0.0402,0.0195,0.2912,0.1179,0.87447697,-0.7573929,2,2
1_2_40_756_0,0.0186,0.0402,0.0195,0.2912,0.1179,0.87447697,-0.7573929,2,2
1_2_40_759_0,0.0201,0.038,0.0211,0.2625,0.1071,0.85119885,-0.7470882,2,2
1_2_40_762_0,0.0223,0.038,0.0259,0.2058,0.1081,0.776435,-0.6882691,2,2
1_2_40_763_0,0.0203,0.0361,0.0247,0.2038,0.1093,0.78380746,-0.69904125,2,2
1_2_40_764_0,0.0203,0.0361,0.0247,0.2038,0.1093,0.78380746,-0.69904125,2,2
1_2_40_767_0,0.0222,0.0376,0.0261,0.2032,0.1063,0.7723506,-0.68770766,2,2
1_2_40_774_0,0.0179,0.0314,0.0207,0.1846,0.089,0.7983439,-0.7092593,2,2
1_2_40_776_0,0.0179,0.0353,0.0202,0.2544,0.1025,0.8528769,-0.7562996,2,2
1_2_40_777_0,0.0201,0.0361,0.0223,0.236,0.102,0.82733256,-0.7346564,2,2
1_2_40_779_0,0.0213,0.0426,0.0222,0.2853,0.1114,0.8556098,-0.7401647,2,2
1_2_40_781_0,0.0194,0.0388,0.0214,0.2719,0.1061,0.8540743,-0.7502414,2,2
1_2_40_782_0,0.0213,0.0453,0.0217,0.2987,0.1219,0.86454433,-0.73662794,2,2
1_2_40_784_0,0.0195,0.0356,0.0218,0.2294,0.1088,0.8264331,-0.73132074,2,2
1_2_40_785_0,0.0238,0.0413,0.0288,0.219,0.1115,0.76755446,-0.6826738,2,2
1_2_40_792_0,0.0193,0.0346,0.0215,0.2202,0.1024,0.8220935,-0.7284144,2,2
1_2_40_793_0,0.0224,0.0399,0.0255,0.2314,0.1046,0.80147916,-0.7058607,2,2
1_2_40_794_0,0.0226,0.0381,0.0262,0.1947,0.1014,0.7627886,-0.67268044,2,2
1_2_40_795_0,0.0226,0.0381,0.0262,0.1947,0.1014,0.7627886,-0.67268044,2,2
1_2_40_796_0,0.0224,0.0374,0.0253,0.2081,0.0955,0.7832048,-0.69531566,2,2
1_2_40_801_0,0.0205,0.0325,0.022,0.1643,0.0982,0.7638218,-0.66971546,2,2
1_2_40_803_0,0.0202,0.0373,0.0243,0.2073,0.1076,0.7901554,-0.6950123,2,2
1_2_40_804_0,0.0202,0.0373,0.0243,0.2073,0.1076,0.7901554,-0.6950123,2,2
1_2_40_808_0,0.0222,0.0378,0.0248,0.2237,0.0966,0.8004024,-0.71089864,2,2
1_2_40_812_0,0.0232,0.0364,0.0263,0.2197,0.0998,0.7861789,-0.71573603,2,2
1_2_40_813_0,0.0209,0.0366,0.0247,0.2054,0.1022,0.78531075,-0.6975207,2,2
1_2_40_814_0,0.0209,0.0366,0.0247,0.2054,0.1022,0.78531075,-0.6975207,2,2
1_2_40_815_0,0.0194,0.0364,0.0225,0.2027,0.0974,0.80017763,-0.6955249,2,2
1_2_40_820_0,0.0204,0.0364,0.0209,0.2587,0.1059,0.8505007,-0.75330395,2,2
1_2_40_824_0,0.0183,0.0332,0.0195,0.2254,0.0974,0.84075135,-0.7432328,2,2
1_2_40_825_0,0.0179,0.0347,0.0212,0.2166,0.0955,0.8216989,-0.72383606,2,2
1_2_40_826_0,0.0179,0.0347,0.0212,0.2166,0.0955,0.8216989,-0.72383606,2,2
1_2_40_832_0,0.0207,0.0352,0.0248,0.1976,0.0908,0.77697843,-0.6975945,2,2
1_2_40_837_0,0.0263,0.0471,0.0358,0.2266,0.1252,0.72713417,-0.6558275,2,2
1_2_40_838_0,0.0219,0.04,0.0246,0.2142,0.109,0.79396987,-0.6852872,2,2
1_2_40_845_0,0.02,0.0376,0.0253,0.2051,0.0946,0.7803819,-0.69015247,2,2
1_2_40_846_0,0.0208,0.0382,0.0253,0.2099,0.0957,0.78486395,-0.69205964,2,2
1_2_40_854_0,0.0192,0.0349,0.0204,0.2348,0.0987,0.8401254,-0.7411939,2,2
1_2_40_856_0,0.0194,0.0361,0.0213,0.2292,0.1015,0.82994014,-0.72785527,2,2
1_2_40_858_0,0.0192,0.0338,0.0199,0.2292,0.0978,0.8402248,-0.74296576,2,2
1_2_40_862_0,0.0187,0.0333,0.0239,0.1952,0.0998,0.7818348,-0.70853394,2,2
1_2_40_863_0,0.019,0.0348,0.0216,0.21,0.0954,0.8134715,-0.71568626,2,2
1_2_40_867_0,0.0219,0.0381,0.024,0.2139,0.1037,0.7982346,-0.697619,2,2
1_2_40_871_0,0.0203,0.0364,0.0236,0.1946,0.1008,0.7836847,-0.6848485,2,2
1_2_40_874_0,0.0191,0.0349,0.0233,0.1778,0.0999,0.7682745,-0.6718383,2,2
1_2_40_882_0,0.0206,0.0393,0.0263,0.2277,0.1039,0.7929134,-0.70561796,2,2
1_2_40_885_0,0.0217,0.0405,0.0258,0.2694,0.1199,0.82520324,-0.73862535,2,2
1_2_40_892_0,0.0217,0.0354,0.0247,0.2046,0.0967,0.7845617,-0.705,2,2
1_2_40_894_0,0.0219,0.0365,0.0273,0.1878,0.1057,0.74616456,-0.674543,2,2
1_2_40_897_0,0.0233,0.0388,0.0292,0.2038,0.1056,0.7493562,-0.6801319,2,2
1_2_40_899_0,0.0179,0.0339,0.0208,0.2245,0.1005,0.83041173,-0.7376161,2,2
1_2_40_905_0,0.0197,0.0357,0.023,0.2105,0.0999,0.8029979,-0.7099919,2,2
1_2_40_907_0,0.0229,0.0365,0.0274,0.1873,0.1023,0.74476016,-0.6738159,2,2
1_2_40_909_0,0.0293,0.0469,0.0379,0.2074,0.128,0.6909906,-0.63114434,2,2
1_2_41_0_0,0.0411,0.0549,0.0466,0.2215,0.1389,0.65236855,-0.60274965,2,2
1_2_41_1_0,0.025,0.0428,0.0336,0.2497,0.1464,0.7627956,-0.70735043,2,2
1_2_41_3_0,0.0254,0.0426,0.0324,0.2389,0.1452,0.76115,-0.6973357,2,2
1_2_41_4_0,0.024,0.0438,0.0303,0.2416,0.1391,0.7771239,-0.69306237,2,2
1_2_41_5_0,0.0305,0.0464,0.0465,0.2323,0.1612,0.66642755,-0.66702545,2,2
1_2_41_6_0,0.032,0.0486,0.0422,0.2424,0.1664,0.7034434,-0.6659794,2,2
1_2_41_10_0,0.0246,0.0419,0.0325,0.222,0.139,0.74459726,-0.6824555,2,2
1_2_41_14_0,0.0305,0.0499,0.0418,0.2389,0.1679,0.7021731,-0.6544321,2,2
1_2_41_19_0,0.0539,0.0684,0.072,0.2028,0.1988,0.47598255,-0.49557522,0,2
1_2_41_20_0,0.0322,0.0498,0.0477,0.2025,0.1735,0.61870503,-0.6052319,2,2
1_2_41_23_0,0.0195,0.0374,0.0263,0.2122,0.115,0.77945495,-0.70032054,2,2
1_2_41_25_0,0.0229,0.0441,0.0284,0.226,0.1113,0.7767296,-0.6734543,2,2
1_2_41_26_0,0.0205,0.0356,0.0246,0.2094,0.1064,0.7897436,-0.7093878,2,2
1_2_41_27_0,0.0221,0.0393,0.0288,0.2273,0.1108,0.77508783,-0.7051763,2,2
1_2_41_28_0,0.0221,0.0393,0.0288,0.2273,0.1108,0.77508783,-0.7051763,2,2
1_2_41_29_0,0.022,0.0432,0.0265,0.2776,0.1263,0.82571524,-0.7306733,2,2
1_2_41_36_0,0.0205,0.0362,0.0262,0.2159,0.1383,0.7835605,-0.71281236,2,2
1_2_41_40_0,0.0326,0.0511,0.0462,0.236,0.1589,0.6725727,-0.64402646,2,2
1_2_41_43_0,0.0318,0.0473,0.0443,0.199,0.1498,0.63584054,-0.61591554,2,2
1_2_41_44_0,0.0318,0.0473,0.0443,0.199,0.1498,0.63584054,-0.61591554,2,2
1_2_41_53_0,0.026,0.0419,0.0337,0.1901,0.1312,0.69883823,-0.6387931,2,2
1_2_41_55_0,0.0236,0.0392,0.0298,0.2023,0.1159,0.74321413,-0.67536235,2,2
1_2_41_56_0,0.0236,0.0396,0.0294,0.1996,0.1218,0.7432314,-0.6688963,2,2
1_2_41_57_0,0.0236,0.0396,0.0294,0.1996,0.1218,0.7432314,-0.6688963,2,2
1_2_41_59_0,0.0187,0.0349,0.0234,0.2102,0.1222,0.7996575,-0.7152183,2,2
1_2_41_61_0,0.023,0.0444,0.0314,0.2796,0.1583,0.7980707,-0.7259259,2,2
1_2_41_62_0,0.0256,0.0483,0.0345,0.2684,0.1641,0.7722021,-0.6949795,2,2
1_2_41_68_0,0.0215,0.0417,0.0255,0.2519,0.1276,0.81614995,-0.71594006,2,2
1_2_41_74_0,0.0249,0.0457,0.0302,0.2872,0.1407,0.8097038,-0.72544307,2,2
1_2_41_77_0,0.0261,0.0405,0.0334,0.1934,0.1415,0.70546734,-0.65369815,2,2
1_2_41_78_0,0.0261,0.0405,0.0334,0.1934,0.1415,0.70546734,-0.65369815,2,2
1_2_41_81_0,0.0336,0.0487,0.0462,0.2014,0.1667,0.62681746,-0.61055577,2,2
1_2_41_84_0,0.0282,0.0456,0.0386,0.2132,0.1395,0.6934075,-0.64760435,2,2
1_2_41_85_0,0.027,0.0445,0.0376,0.2096,0.1321,0.69579285,-0.6497442,2,2
1_2_41_86_0,0.0234,0.0412,0.0299,0.2191,0.1245,0.75983936,-0.6834422,2,2
1_2_41_87_0,0.0203,0.0399,0.0207,0.3068,0.1181,0.8735878,-0.7698298,2,2
1_2_41_89_0,0.0227,0.0411,0.0275,0.2726,0.1616,0.81672776,-0.73796624,2,2
